English,Chinese,Category,Notes
Shading operating strategy,遮阳运行策略,HVAC,策略
Consider present & absent,考虑存在与不在,HVAC,策略
Consider absent,考虑不在,HVAC,策略


# ==================== 设备模式与状态 ====================
Device mode,设备模式,Status,设备状态
Operating mode,运行模式,Status,设备状态
Comfort,舒适,Status,模式
Economy,经济,Status,模式
Protection,防护,Status,模式
Standby,待机,Status,模式
Night,夜间,Status,模式
Unoccupied,非占用,Status,占用状态
Occupied,占用,Status,占用状态
Override active,覆盖激活,Status,状态标志
Alarm active,报警激活,Status,状态标志
Fault,故障,Status,状态
Failure,故障,Status,状态
Normal,正常,Status,状态
Active,激活,Status,状态
Inactive,未激活,Status,状态
Enabled,启用,Status,状态
Disabled,禁用,Status,状态
Locked,锁定,Status,状态
Unlocked,解锁,Status,状态
Start,启动,Status,动作
Stop,停止,Status,动作
Reset,复位,Status,动作
Acknowledge,确认,Status,动作
Normal operation,正常运行,Status,状态
Limit exceeded,超出限制,Status,状态
High limit,上限,Status,参数
Low limit,下限,Status,参数
Warning,警告,Status,状态级别
Critical,严重,Status,状态级别
Info,信息,Status,状态级别


# ==================== 状态与信号增强 ====================
Inactive,未激活,Status,状态
Fully open,全开,Status,位置状态
Fully closed,全关,Status,位置状态
Partially open,半开,Status,位置状态
Cooling demand,制冷需求,Status,需求信号
Cooling status,制冷状态,Status,设备状态
Cooling available,制冷可用,Status,能力状态
Cooling active,制冷激活,Status,运行状态
Heating demand,制热需求,Status,需求信号
Heating status,制热状态,Status,设备状态
Heating available,制热可用,Status,能力状态
Heating active,制热激活,Status,运行状态
Ventilation demand,通风需求,Status,需求信号
Present,存在,Status,检测状态
Absent,不在/缺席,Status,检测状态
Occupied,占用,Status,占用状态
Unoccupied,未占用,Status,占用状态
Cons. present,持续存在,Status,缩写形式
Cons. absent,持续不在,Status,缩写形式
No Psc Fnct,无占用功能,Status,功能状态
No occupancy function,无占用功能,Status,功能状态
PscFnct (Presence Function),占用功能,Status,功能缩写
Cons. (Constant),持续,Status,缩写
Psc (Presence),占用,Status,缩写
Occupancy,占用状态,Status,空间状态
Motion,运动,Status,检测信号
No motion,无运动,Status,检测信号
Occupied by present,被当前占用,Status,状态描述
Available,可用,Status,能力状态
Unavailable,不可用,Status,能力状态
Standby,待机,Status,工作状态
Normal operation,正常运行,Status,工作状态
Fault,故障,Status,错误状态
Failure,失效,Status,错误状态
Warning,警告,Status,告警级别
Alarm,报警,Status,告警级别
Critical,严重,Status,告警级别
Overridden,被覆盖,Status,状态标志
Handled,已处理,Status,状态标志
Timed out,超时,Status,状态标志
Stale,陈旧,Status,数据状态
Valid,有效,Status,数据状态
Invalid,无效,Status,数据状态
Undefined,未定义,Status,状态


# 控制策略
Cascade control,串级控制,Control,控制方式
Feedback loop,反馈回路,Control,控制环节
Flow control loop,流量控制环,Control,具体环路
Control logic,控制逻辑,Control,算法
Switch,切换/开关,Control,动作
Switch-on,开启,Control,动作阈值
Switch-off,关闭,Control,动作阈值
Delay,延迟/延时,Time,时间参数
Hysteresis,滞环/回差,Control,控制特性
Tolerance,容差/公差,Control,精度
Tracking method,跟踪方法,Control,策略
Setpoint tracking,设定点跟踪,Control,跟踪模式
Airflow tracking,风量跟踪,Control,具体跟踪
Deviation,偏差,Control,误差
Deviation calculation,偏差计算,Control,计算
Reset strategy,重置策略,Control,优化策略
Demand level,需求等级,Signal,信号强度
Active driver,有效驱动源,Control,驱动源
Scale,比例/缩放,Control,调整
Gain,增益,Control,PID参数
Tn (Integral time),积分时间,Control,PID参数
Rise time,上升时间,Control,PID参数
Fall time,下降时间,Control,PID参数
Neutral zone,死区/中性区,Control,PID参数
Step response,阶跃响应,Control,调试响应
Overshoot,超调,Control,调试响应
Undershoot,欠调,Control,调试响应
Searching,搜索振荡,Control,调试问题
Face velocity control loop,面风速控制回路,Control,串级控制
Cascade arrangement,串级布置,Control,控制架构
Acceptance test,验收测试,Engineering,测试流程
Request For Information,信息请求,Engineering,文档
Tuning parameters,整定参数,Control,PID调试
Filter time constant,滤波时间常数,Control,参数
Flow sensor noise filter,流量传感器噪声滤波,Control,滤波参数
Progress value,进度值,HVAC,阀位反馈
Bundling,捆绑,Architecture,架构概念
Precollect,预收集,Architecture,数据处理
Group manager,组管理器,Architecture,组通信
Nominal power demand,标称功率需求,HVAC,系统设计
Bus interface module,总线接口模块,Hardware,硬件
Task selector,任务选择器,Engineering,UI元素
Plants navigation view,设备导航视图,Engineering,UI元素
Library and Properties,库和属性,Engineering,UI元素
Add data point,添加数据点,Engineering,操作
Assign all,全部分配,Engineering,操作
Plant focus,设备焦点,Engineering,UI概念
I/O configuration,I/O配置,Engineering,任务
BACnet references,BACnet引用,Engineering,配置
M-bus,M-bus协议,Protocol,仪表总线
Smart copy,智能复制,Engineering,操作
Smart paste,智能粘贴,Engineering,操作
User designation,用户命名,Engineering,工程设置
Level structure,层级结构,Engineering,命名规则
Separator,分隔符,Engineering,命名规则
Naming defaults,命名默认值,Engineering,工程设置
Pressure-dependent control,压力相关控制,HVAC,控制方式
Duty cycling,循环通风,HVAC,通风模式
Periodic air flush,周期性换气,HVAC,通风功能
DutyCycCmf,舒适模式循环通风间隔,HVAC,配置参数
DutyCycPcf,预舒适模式循环通风间隔,HVAC,配置参数
DutyCycEco,经济模式循环通风间隔,HVAC,配置参数
DutyCycPrt,防护模式循环通风间隔,HVAC,配置参数
TiOnDutyCyc,循环通风开启时间,HVAC,时间参数
CmfCnf,舒适配置,HVAC,通风模式配置
DmpPosMinCmf,舒适最小风阀位置,HVAC,配置参数
DmpPosMinPcf,预舒适最小风阀位置,HVAC,配置参数
DmpPosMinEco,经济最小风阀位置,HVAC,配置参数
DmpPosMinPrt,防护最小风阀位置,HVAC,配置参数
DmpPosTrnAir,传递风量风阀位置,HVAC,压差控制
DmpPosSuR,房间送风风阀位置,HVAC,控制信号
PrSpDmpPosEx,排风风阀当前位置设定值,HVAC,控制信号
Infiltration,渗透,HVAC,气流
Exfiltration,渗出,HVAC,气流


# ==================== 控制逻辑术语 ====================
Control mode,控制模式,Control,运行模式
Mode,模式,Control,通用
Off,关闭,Control,状态
Auto,自动,Control,状态
Manual,手动,Control,状态
Control,控制,Control,通用
Controller,控制器,Control,设备
Sequence,序列,Control,控制序列
Sequence of operation,操作序列,Control,控制逻辑
Setpoint,设定值,Control,参数
Setpoint adjustment,设定值调整,Control,参数
Setpoint schedule,设定值日程,Control,日程
Default setpoint,默认设定值,Control,参数
Room setpoint,房间设定值,Control,参数
Heating setpoint,制热设定值,Control,参数
Cooling setpoint,制冷设定值,Control,参数
Comfort setpoint,舒适设定值,Control,参数
Standby setpoint,待机设定值,Control,参数
Economy setpoint,经济设定值,Control,参数
Setpoint shift,设定值偏移,Control,参数
Deadband,死区,Control,参数
Proportional band,比例带,Control,参数
Integral time,积分时间,Control,参数
Derivative time,微分时间,Control,参数
PI control,PI控制,Control,控制算法
PID control,PID控制,Control,控制算法
Feedback,反馈,Control,控制策略
Feedforward,前馈,Control,控制策略
Cascade control,串级控制,Control,控制策略
Master,主站,Control,层级
Slave,从站,Control,层级
Override,覆盖,Control,控制动作
Hand,手动,Control,操作模式
Auto,自动,Control,操作模式
DDC,DDC直接数字控制,Control,控制技术
Proportional control,比例控制,Control,控制算法
Two-position control,两位控制,Control,控制算法
Modulating control,调节控制,Control,控制算法
Step control,步进控制,Control,控制算法
Three-position control,三位控制,Control,控制算法
Floating control,浮点控制,Control,控制算法
Adaptive control,自适应控制,Control,控制策略
Optimized start,优化启动,Control,控制策略
Optimum stop,优化停机,Control,控制策略
Night setback,夜间设置,Control,节能策略
Morning warm-up,早间预热,Control,节能策略
Demand control,需求控制,Control,节能策略
Demand limiting,需求限制,Control,节能策略
Load shedding,负载削减,Control,节能策略
Peak shaving,削峰,Control,节能策略
Time schedule,时间日程,Control,日程控制
Weekly schedule,周日程,Control,日程
Exception schedule,例外日程,Control,日程
Holiday schedule,假日日程,Control,日程
Occupancy schedule,占用日程,Control,日程
Operating schedule,运行日程,Control,日程
Priority,优先级,Control,控制优先级
Command,命令,Control,控制指令
Status,状态,Control,设备状态
Value,值,Control,数据值
Input,输入,Control,信号输入
Output,输出,Control,信号输出
Commandable,可命令,Control,属性
Commanded value,命令值,Control,控制值


# ==================== 控制逻辑增强 ====================
Cut-off logic,切断逻辑,Control,保护逻辑
Equipment protection priority,设备保护优先级,Control,优先级设置
Device mode logic switch,设备模式逻辑开关,Control,模式切换
Loop control,回路控制,Control,控制方式
Modulation,调制/调节,Control,控制方式
Modulating,调节中,Control,状态
Modulating control,调节控制,Control,控制方式
Economizer,经济器/节能器,Control,节能设备
Switch-on point,开启点,Control,阈值
Switch-off point,关闭点,Control,阈值
Switching delay,切换延迟,Control,时间参数
Switching differential,切换差值,Control,控制参数
Next room operating mode,下一房间运行模式,Control,状态预测
Operating mode,运行模式,Control,设备状态
Mode switch,模式切换,Control,操作
Mode changeover,模式切换,Control,操作
Time switch,时间开关,Control,定时控制
Lead-lag,主备切换,Control,冗余控制
Lead pump,主泵,Control,设备角色
Lag pump,备泵,Control,设备角色
Pumpdown,泵送,Control,运行状态
Staging,分级控制,Control,控制策略
Enable,启用,Control,操作
Disable,禁用,Control,操作
Block,封锁,Control,控制动作
Force,强制,Control,控制动作
Override,覆盖,Control,控制动作
Auto-tuning,自动整定,Control,调试功能
Self-tuning,自整定,Control,调试功能


# 报警与安全
Alarming,报警,Function,功能类别
Alarm,报警,Safety,安全事件
Alarming topology,报警拓扑,Safety,架构
Alarm configuration,报警配置,Safety,配置
Smoke control,排烟控制,Safety,消防
Smoke extraction,排烟,Safety,消防
Smoke ctrl.,排烟控制,Safety,缩写
Emergency Off,紧急停止,Safety,紧急操作
Equipment protection,设备保护,Safety,保护机制
Priority,优先级,Control,控制参数
Protection priority,保护优先级,Control,特定参数
Saturation,饱和,Control,状态
Starved,饥饿/不足,Status,状态描述
Satisfied,满足/充足,Status,状态描述
Condensation,凝结,Physical,物理现象
Alert,告警,Status,状态
Normal,正常,Status,状态


# ==================== 报警与事件 ====================
Alarming,报警功能,Alarm,功能
Alarm,报警,Alarm,事件
Alarming topology,报警拓扑,Alarm,系统架构
Alarm notification,报警通知,Alarm,功能
Alarm handling,报警处理,Alarm,功能
Alarm generation,报警生成,Alarm,功能
Alarm priority,报警优先级,Alarm,参数
Alarm acknowledgment,报警确认,Alarm,动作
Alarm routing,报警路由,Alarm,功能
Alarm filtering,报警过滤,Alarm,功能
Alarm message,报警消息,Alarm,数据
Alarm limit,报警限值,Alarm,参数
Alarm delay,报警延迟,Alarm,参数
Alarm deadband,报警死区,Alarm,参数
Alarm state,报警状态,Alarm,状态
Alarm summary,报警摘要,Alarm,功能
Active alarm,活动报警,Alarm,状态
Alarm history,报警历史,Alarm,数据
Alarm log,报警日志,Alarm,数据
Event,事件,Alarm,通用
Event notification,事件通知,Alarm,功能
Event log,事件日志,Alarm,数据
Trip,跳闸,Alarm,动作
Intrinsic reporting,固有报告,Alarm,功能
Feedback monitoring,反馈监控,Alarm,功能
Limit monitoring,限值监控,Alarm,功能
Runtime monitoring,运行时间监控,Alarm,功能
Change of value,数值变更,Alarm,事件类型
Deviation alarm,偏差报警,Alarm,类型
High-high alarm,高高报警,Alarm,类型
Low-low alarm,低低报警,Alarm,类型
Out of range,超出范围,Alarm,状态
Exceeded,超出,Alarm,状态
Threshold,阈值,Alarm,参数
Deadband,死区,Alarm,参数
Event enable,事件启用,Alarm,配置
Event transition,事件转换,Alarm,状态变化


# ==================== 保护机制增强 ====================
Room low temperature protection,房间低温保护,Safety,温度保护
Room frost protection,房间防冻保护,Safety,温度保护
Condensation overflow protection,防凝结溢流保护,Safety,设备保护
Condensation protection,防凝结保护,Safety,设备保护
Equipment temperature protection,设备温度保护,Safety,设备保护
Frost protection,防冻保护,Safety,温度保护
Anti-freeze,防冻,Safety,保护功能
Anti-legionella,防军团菌,Safety,卫生保护
Legionella protection,军团菌保护,Safety,卫生保护
Low temperature alarm,低温报警,Safety,报警
High temperature alarm,高温报警,Safety,报警
Central emergency,集中紧急信号,Safety,安全信号
Central emergency for HVAC,HVAC集中紧急信号,Safety,安全信号
Emergency stop,紧急停止,Safety,安全操作
Emergency mode,紧急模式,Safety,运行状态
Safe state,安全状态,Safety,系统状态
Safe position,安全位置,Safety,设备位置
Fail-safe,故障安全,Safety,设计原则
Fail position,故障位置,Safety,设备位置
Safe position,安全位置,Safety,设备位置
Override priority,覆盖优先级,Safety,优先级
High priority,高优先级,Safety,优先级
Low priority,低优先级,Safety,优先级
Manual reset,手动复位,Safety,复位方式
Auto reset,自动复位,Safety,复位方式


# BACnet 协议术语
BACnet,BACnet协议,Domain,通信协议
BACnet object,BACnet对象,BACnet,数据结构
AO (Analog Output),模拟量输出（AO）,BACnet,对象类型
AI (Analog Input),模拟量输入（AI）,BACnet,对象类型
AV (Analog Value),模拟量值（AV）,BACnet,对象类型
BO (Boolean Output),布尔量输出（BO）,BACnet,对象类型
BI (Boolean Input),布尔量输入（BI）,BACnet,对象类型
BV (Boolean Value),布尔量值（BV）,BACnet,对象类型
MO (Multi-state Output),多态输出（MO）,BACnet,对象类型
MI (Multi-state Input),多态输入（MI）,BACnet,对象类型
MV (Multi-state Value),多态值（MV）,BACnet,对象类型
ACnfVal (Analog Configured Value),模拟配置值（ACnfVal）,BACnet,自定义类型
ACalcVal (Analog Calculated Value),模拟计算值（ACalcVal）,BACnet,自定义类型
BCalcVal (Boolean Calculated Value),布尔计算值（BCalcVal）,BACnet,自定义类型
MPrcVal (Multi-state Processed Value),多态处理值（MPrcVal）,BACnet,自定义类型
ColView (Collection View),集合视图（ColView）,BACnet,自定义类型
GrpMbr (Group Member),组成员（GrpMbr）,BACnet,自定义类型
FtrSel (Feature Selection),功能选择（FtrSel）,BACnet,自定义类型
Trend,趋势,BACnet,功能
Interlock,联锁/互锁,Control,控制逻辑
Interlocks,联锁信号,Control,复数形式
Signal,信号,Control,通用
Type,类型,Metadata,元数据
Direction,方向,Metadata,属性
Description,描述,Metadata,元数据
Comment,注释,Metadata,元数据
In (Input),输入,Direction,方向
Out (Output),输出,Direction,方向
Dir. (Direction),方向,Direction,缩写
Ref. (Reference),引用,Metadata,缩写
Owned by,归属,Metadata,所有者关系


# ==================== BACnet 协议术语 ====================
BACnet,BACnet,BACnet,BACnet协议 - 保持原文
BACnet object,BACnet对象,BACnet,协议对象
BACnet device,BACnet设备,BACnet,网络设备
BACnet/IP,BACnet/IP,BACnet,网络协议
BACnet MSTP,BACnet MSTP,BACnet,串行协议
Network,网络,BACnet,通信网络
Device,设备,BACnet,网络设备
Object,对象,BACnet,数据对象
Object ID,对象ID,BACnet,对象标识符
Object type,对象类型,BACnet,对象分类
Object name,对象名称,BACnet,对象标识
Property,属性,BACnet,对象属性
Present Value,当前值,BACnet,对象属性
Status Flags,状态标志,BACnet,对象属性
Event State,事件状态,BACnet,对象属性
Reliability,可靠性,BACnet,对象属性
Out of service,脱离服务,BACnet,状态标志
COV,变更-of-value,BACnet,事件机制
COV Increment,COV增量,BACnet,阈值设置
Multistate Value,多状态值,BACnet,对象类型
Analog Value,模拟值,BACnet,对象类型
Analog Input,模拟输入,BACnet,对象类型 - AI
Analog Output,模拟输出,BACnet,对象类型 - AO
Binary Value,二进制值,BACnet,对象类型
Binary Input,二进制输入,BACnet,对象类型 - BI
Binary Output,二进制输出,BACnet,对象类型 - BO
Binary Input,二进制输入,BACnet,对象类型
Binary Output,二进制输出,BACnet,对象类型
Schedule,日程安排,BACnet,对象类型
Calendar,日历,BACnet,对象类型
Trend Log,趋势记录,BACnet,对象类型
Notification Class,通知类,BACnet,对象类型
Trend Log Multiple,多点趋势记录,BACnet,对象类型
Load Control,负载控制,BACnet,对象类型
Protocol,协议,BACnet,通信协议
Protocol revision,协议版本,BACnet,版本信息
Protocol object,协议对象,BACnet,协议对象
Protocol services,协议服务,BACnet,通信服务
ReadProperty,读取属性,BACnet,服务
WriteProperty,写入属性,BACnet,服务
ReadPropertyMultiple,多属性读取,BACnet,服务
SubscribeCOV,订阅COV,BACnet,服务
ConfirmedCOVNotification,确认COV通知,BACnet,服务
UnconfirmedCOVNotification,不确认COV通知,BACnet,服务
Device communication control,设备通信控制,BACnet,服务
Who-Is,设备查询,BACnet,服务
I-Am,设备响应,BACnet,服务
Who-Has,对象查询,BACnet,服务
I-Have,对象响应,BACnet,服务
Network port,网络端口,BACnet,对象类型
IP mode,IP模式,BACnet,配置
Foreign device,外部设备,BACnet,配置
 BBMD,BBMD,BACnet,广播管理设备
FD,外部设备,BACnet,BACnet Foreign Device


# ==================== BACnet/SC安全网络 ====================
BACnet Secure Connect,BACnet安全连接,BACnet,协议
BACnet/SC topology,BACnet/SC拓扑,BACnet,网络结构
Building hub,建筑集线器,BACnet,网络设备
Floor hub,楼层集线器,BACnet,网络设备
Failover hub,故障切换集线器,BACnet,网络设备
Node,节点,BACnet,网络设备
Hub assignment,集线器分配,BACnet,配置
SC network,安全连接网络,BACnet,网络
BACnet/IP routing,BACnet/IP路由,BACnet,网络配置
Assign hub,分配集线器,BACnet,操作
Unassign,取消分配,BACnet,操作
F-COM (Flow Communication),流量通信网络,BACnet,实验室专用网络
BACnet F-COM,BACnet流量通信,BACnet,MS/TP子网


# ==================== BACnet路由与网络 ====================
BACnet routing,BACnet路由,BACnet,网络功能
Ethernet port,以太网端口,BACnet,硬件接口
Flexible use of Ethernet ports,以太网端口灵活使用,BACnet,配置
Logical network topology,逻辑网络拓扑,BACnet,网络结构
Physical network topology,物理网络拓扑,BACnet,网络结构
BACnet data link,BACnet数据链路,BACnet,网络层


# ==================== 附加BACnet对象 ====================
Accumulator meter,累计表,BACnet,对象类型
Certificate,证书,BACnet,对象类型
Loop object,回路对象,BACnet,对象类型
Simple process value,简单过程值,BACnet,对象类型
Accumulator,累加器,BACnet,对象类型
Analog simple process value,模拟简单过程值,BACnet,自定义类型
Binary simple process value,布尔简单过程值,BACnet,自定义类型
Multistate simple process value,多态简单过程值,BACnet,自定义类型
Unsigned simple process value,无符号简单过程值,BACnet,自定义类型
Integer simple process value,整数简单过程值,BACnet,自定义类型
Proprietary BACnet object,专有BACnet对象,BACnet,自定义对象


# ==================== Modbus 通信协议 ====================
Modbus,Modbus协议,Protocol,通信协议
Modbus RTU,Modbus RTU,Protocol,串行协议
Modbus TCP,Modbus TCP,Protocol,网络协议
Modbus Integration,Modbus集成,Protocol,系统集成
Modbus register,Modbus寄存器,Protocol,数据单元
Register,寄存器,Protocol,数据单元
Holding register,保持寄存器,Protocol,数据类型
Input register,输入寄存器,Protocol,数据类型
Coil,线圈,Protocol,位数据
Discrete input,离散输入,Protocol,位数据
Bit order,位序,Protocol,数据格式
Byte order,字节序,Protocol,数据格式
Big-endian,大端序,Protocol,字节序类型
Little-endian,小端序,Protocol,字节序类型
Bit swapped,位交换,Protocol,数据处理
Word swapped,字交换,Protocol,数据处理
Byte swapped,字节交换,Protocol,数据处理
Swapped,已交换,Protocol,数据状态
Encoding format,编码格式,Protocol,数据格式
Heartbeat,心跳,Protocol,通信监控
Heartbeat timer,心跳定时器,Protocol,监控参数
Polling timer,轮询定时器,Protocol,通信参数
Polling interval,轮询间隔,Protocol,通信参数
Polling times,轮询时间,Protocol,通信参数
Poll,轮询,Protocol,通信操作
Response timeout,响应超时,Protocol,通信参数
Retry,重试,Protocol,通信参数
Retry count,重试次数,Protocol,通信参数
Exception,异常,Protocol,通信状态
Exception code,异常码,Protocol,错误代码
Function code,功能码,Protocol,Modbus命令
Read holding registers,读保持寄存器,Protocol,Modbus功能
Write single register,写单个寄存器,Protocol,Modbus功能
Write multiple registers,写多个寄存器,Protocol,Modbus功能
U8,无符号8位,Protocol,编码格式
S8,有符号8位,Protocol,编码格式
U16-B,无符号16位大端,Protocol,编码格式
U16-L,无符号16位小端,Protocol,编码格式
S16-B,有符号16位大端,Protocol,编码格式
S16-L,有符号16位小端,Protocol,编码格式
U32-B,无符号32位大端,Protocol,编码格式
U32-B-S,无符号32位大端字节交换,Protocol,编码格式
U32-L,无符号32位小端,Protocol,编码格式
U32-L-S,无符号32位小端字节交换,Protocol,编码格式
S32-B,有符号32位大端,Protocol,编码格式
S32-B-S,有符号32位大端字节交换,Protocol,编码格式
S32-L,有符号32位小端,Protocol,编码格式
S32-L-S,有符号32位小端字节交换,Protocol,编码格式
F16-B,16位浮点大端,Protocol,编码格式
F16-L,16位浮点小端,Protocol,编码格式
F32-B,32位浮点大端,Protocol,编码格式
F32-B-S,32位浮点大端字节交换,Protocol,编码格式
F32-L,32位浮点小端,Protocol,编码格式
F32-L-S,32位浮点小端字节交换,Protocol,编码格式
F64-B,64位浮点大端,Protocol,编码格式
F64-B-S,64位浮点大端字节交换,Protocol,编码格式
F64-L,64位浮点小端,Protocol,编码格式
F64-L-S,64位浮点小端字节交换,Protocol,编码格式
Bit-Offset,位偏移,Protocol,Modbus属性
Number of bits,位数,Protocol,Modbus属性
Mapping table,映射表,Protocol,Modbus属性
Min repetition time,最小重复时间,Protocol,Modbus属性
Process value,过程值,Protocol,线性转换
Input value,输入值,Protocol,线性转换
Linear function,线性函数,Protocol,数据转换
Fieldbus-Management-Object,现场总线管理对象,Protocol,系统对象
T1,T1轮询定时器,Protocol,高优先级
T2,T2轮询定时器,Protocol,中优先级
T3,T3轮询定时器,Protocol,低优先级
H1,H1心跳定时器,Protocol,高优先级
H2,H2心跳定时器,Protocol,低优先级
Flow pressure measuring,流量压力测量,Protocol,AI扩展
Altitude,海拔高度,Protocol,配置参数
Units for altitude,海拔单位,Protocol,配置参数


# ==================== DALI 通信协议 ====================
DALI,DALI协议,Protocol,照明协议
DALI-2,DALI-2,Protocol,照明协议版本
Digital addressable lighting interface,数字可寻址照明接口,Protocol,全称
DALI device,DALI设备,Protocol,照明设备
DALI gateway,DALI网关,Protocol,网关设备
DALI bus,DALI总线,Protocol,通信总线
Light,灯光,Protocol,照明输出
Luminaire,灯具,Protocol,照明设备
Ballast,镇流器,Protocol,照明配件
LED driver,LED驱动器,Protocol,照明配件
Dimming level,调光级别,Protocol,控制参数
Dimming,调光,Protocol,控制功能
Scene,场景,Protocol,照明场景
Group,分组,Protocol,设备分组
Broadcast,广播,Protocol,通信方式


# ==================== KNX 与遮阳控制 ====================
KNX,KNX协议,Protocol,楼宇自动化总线
KNX PL-Link,KNX PL-Link,Protocol,KNX变体
SAB (Shutter Actuator Basic),遮阳帘执行器基本型,Shading,KNX遮阳帘执行器
FSA (Fan Speed Actuator),风机速度执行器,HVAC,KNX风机执行器
End position detection,末端位置检测,Shading,遮阳配置
Move up time,上行时间,Shading,遮阳参数
Move down time,下行时间,Shading,遮阳参数
Move completion time,移动完成时间,Shading,遮阳参数
Slat rotation maximum time,百叶最大旋转时间,Shading,遮阳参数
Number of slat steps,百叶步数,Shading,遮阳参数
Blinds position closed,百叶关闭位置,Shading,预定义位置
Blinds position visual protection,百叶视觉保护位置,Shading,预定义位置
Blinds position sun altitude low,百叶低太阳高度位置,Shading,预定义位置
Blinds position sun altitude high,百叶高太阳高度位置,Shading,预定义位置
Blinds position open,百叶开启位置,Shading,预定义位置
Calibration command,校准命令,Shading,遮阳校准
Calibration status,校准状态,Shading,遮阳状态
Once at startup,启动时一次,Shading,末端检测模式
Manual,手动,Shading,末端检测模式
Auto,自动,Shading,末端检测模式
Number of fan speeds,风机速度数量,HVAC,配置参数
1-stage,1级速度,HVAC,风机级数
2-stages,2级速度,HVAC,风机级数
3-stages,3级速度,HVAC,风机级数
Variable fan speed,可变风机速度,HVAC,控制方式
Staged speed control,分级速度控制,HVAC,控制方式
Rapid ventilation,快速通风,HVAC,通风功能
Room operator unit,房间操作单元,UI,设备
Room unit LED,房间单元LED,UI,指示功能
Status LED,状态LED,UI,指示
LED indication,LED指示,UI,功能
Manual operation locked,手动操作锁定,UI,状态
Always off,始终关闭,UI,LED模式
Lighting on,照明开启,UI,LED模式
Lighting off,照明关闭,UI,LED模式
Boost function,加速功能,HVAC,功能
Boost time,加速时间,HVAC,时间参数


# ==================== 现场总线 Fieldbus ====================
Fieldbus,现场总线,Fieldbus,通信总线
Field bus,现场总线,Fieldbus,通信总线
Field bus management,现场总线管理,Fieldbus,系统功能
Field device,现场设备,Fieldbus,设备类型
End device,终端设备,Fieldbus,设备类型
End device,末端设备,Fieldbus,设备类型
On-board output,板载输出,Fieldbus,硬件接口
Bus coupler,总线耦合器,Fieldbus,网络设备
Bus segment,总线段,Fieldbus,网络段
Segment,段,Fieldbus,网络段
Terminator,终端电阻,Fieldbus,网络配件
Bias resistor,偏置电阻,Fieldbus,网络配件
Topology,拓扑,Fieldbus,网络结构
Line topology,线型拓扑,Fieldbus,网络结构
Tree topology,树型拓扑,Fieldbus,网络结构
Star topology,星型拓扑,Fieldbus,网络结构
Termination,终端匹配,Fieldbus,网络配置
Bus termination,总线终端匹配,Fieldbus,网络配置


# ==================== 过程值与工程单位 ====================
Process value,过程值,Process,工艺参数
Process data,过程数据,Process,工艺数据
Output value,输出值,Process,控制输出
Input value,输入值,Process,控制输入
Raw value,原始值,Process,未处理数据
Scaled value,标定值,Process,已处理数据
Engineering value,工程值,Process,工程量
Physical value,物理值,Process,物理量
Engineering unit,工程单位,Process,计量单位
EU,工程单位,Process,缩写
Engineering range,工程范围,Process,量程
Range,量程,Process,参数范围
Span,量程,Process,参数范围
Offset,偏移,Process,修正值
Gain,增益,Process,修正系数
Linear,线性,Process,函数类型
Linear function,线性函数,Process,数据转换
Non-linear,非线性,Process,函数类型
Scaling,标定,Process,数据转换
Scaling factor,标定系数,Process,转换参数
Normalize,标准化,Process,数据处理
Denormalize,反标准化,Process,数据处理
IEEE-754,IEEE-754,Process,浮点数标准
Float,浮点数,Process,数据类型
Integer,整数,Process,数据类型
BCD,BCD码,Process,编码格式
Unsigned,无符号,Process,数据类型
Signed,有符号,Process,数据类型
High byte,高字节,Process,数据格式
Low byte,低字节,Process,数据格式


# 工程与调试
Engineering,工程,Phase,阶段
Commissioning,调试,Phase,阶段
Installation,安装,Phase,阶段
Wiring,接线/布线,Installation,电气工作
Mis-wiring,错误接线,Error,故障原因
Improper installation,不当安装,Error,故障原因
Specification,规格说明/规范,Document,技术文件
Project specification,项目规范,Document,项目文件
Box schedule,箱体明细表,Document,设备清单
Sequence,时序/顺序,Logic,控制逻辑
Balancing,平衡/调试,HVAC,调试步骤
Air balancing,风量平衡,HVAC,调试任务
Check,检查/验证,Action,操作动作
Verify,验证,Action,确认动作
Calibration,校准,Maintenance,维护操作
Sensor calibration,传感器校准,Maintenance,具体操作
Failure,故障/失效,Error,异常情况
Response,响应,Behavior,行为
Invalid condition,无效条件,Error,异常状态


# ==================== 工程与调试 ====================
Engineering,工程,Engineering,工作阶段
Commissioning,调试,Engineering,工作阶段
Start-up,启动,Engineering,工作阶段
Parameter,参数,Engineering,配置项
Configuration,配置,Engineering,设置
Parameterization,参数化,Engineering,配置过程
Programming,编程,Engineering,开发工作
Application,应用,Engineering,程序
Project,项目,Engineering,工作单元
Site,现场,Engineering,项目位置
Building,建筑物,Engineering,对象
Floor,楼层,Engineering,建筑层级
Zone,区域,Engineering,控制区域
Room,房间,Engineering,空间
Area,区域,Engineering,空间
Sector,扇区,Engineering,功能区
Functional,功能,Engineering,分类
Installation,安装,Engineering,工作阶段
Operation,运行,Engineering,工作阶段
Maintenance,维护,Engineering,工作阶段
Service,服务,Engineering,工作内容
Upgrade,升级,Engineering,工作内容
Migration,迁移,Engineering,工作内容
Backup,备份,Engineering,数据操作
Restore,恢复,Engineering,数据操作
Download,下载,Engineering,数据传输
Upload,上传,Engineering,数据传输
Default,默认值,Engineering,参数
